I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
5222,Yes,1990,2,8,7,15,32.2,26,6.6,,6.6,6.2,,,,7,PHILIPPINES,,"PHILIPPINES:  BOHOL, CEBU, CAGAYAN DE ORO, CAMIGUIN",9.755,124.694,170,,2,,,300,3,0.9,1,,,600,3,,2,,,300,3,0.9,1,,,600,3
6477,Yes,1990,2,20,6,53,39.8,14,6.4,,6.4,6.1,,,,,JAPAN,,JAPAN:  NEAR S. COAST OF HONSHU,34.706,139.252,30,,,,,,,,,,,,,,,,,,,,,,,,
5223,No,1990,2,28,23,43,36.6,5,5.5,,5.5,5.5,,,,7,USA,CA,"CALIFORNIA:  S,  CLAREMONT,  COVINA",34.14,-117.7,150,,,,,30,1,12.7,3,,,,,,,,,30,1,12.7,3,,,,
7709,No,1990,3,3,12,16,27.9,33,7.6,7.6,7.4,6.3,,,,,FIJI,,FIJI ISLANDS,-22.122,175.163,170,,,,,,,,,,,,,,,,,,,,,,,,
5224,No,1990,3,4,19,46,19.6,10,6.1,,6.1,5.8,,,,,PAKISTAN,,"PAKISTAN:  KALAT, QUETTA, MASTUNG",28.925,66.331,60,11,1,,,40,1,1,2,,,,3,11,1,,,40,1,1,2,,,,3
5225,Yes,1990,3,25,13,22,55.6,22,7,,7,6.2,,,,8,COSTA RICA,,"COSTA RICA:  PUNTARENAS, SAN JOSE",9.919,-84.808,100,,,,,15,1,,2,8,1,34,1,,,,,15,1,,2,8,1,34,1
5226,No,1990,3,25,14,17,18.8,33,6.3,,6.3,6,,,,6,TAJIKISTAN,,TAJIKISTAN:  PAMIR MOUNTAINS,37.034,72.942,40,,,,,,,,1,,,,,,,,,,,,1,,,,
5227,No,1990,3,26,22,47,16.7,39,5.5,,5.5,5.6,,,,4,PHILIPPINES,,PHILIPPINES:  SANTIAGO,9.253,125.606,170,1,1,,,2,1,,1,,,,,1,1,,,2,1,,1,,,,
5228,No,1990,4,2,13,46,31.7,18,4.7,,,4.7,,,,6,UK,,"UNITED KINGDOM:  MANCHESTER, LIVERPOOL",52.314,-2.985,120,,,,,,,,1,,,,2,,,,,,,,1,,,,2
5229,Yes,1990,4,5,21,12,35.5,11,7.5,,7.5,6.5,,,,4,USA TERRITORY,MP,NORTHERN MARIANA ISLANDS:  SAIPAN; GUAM,15.125,147.596,170,,,,,,,,,,,,,,,,,,,,,,,,
5230,No,1990,4,17,1,59,33.4,33,6.2,,6.2,6,,,,,CHINA,,CHINA:  S XINJIANG:  WUQIA COUNTY,39.436,74.9,40,,,,,2,1,,2,,3,,,,,,,2,1,,2,,3,,
5231,No,1990,4,18,13,39,19,26,7.6,7.6,7.4,6.2,,,,,INDONESIA,,INDONESIA:  MINAHASSA PENINSULA: BOLAANG-GORONTALO,1.186,122.857,170,3,1,,,25,1,,3,,,1140,4,3,1,,,25,1,,3,,,1140,4
5232,No,1990,4,18,19,38,8.9,47,4.7,,,4.7,,,,,IRAN,,IRAN:  HANNA,31.107,51.678,140,,,,,,,,1,,,,,,,,,,,,1,,,,
5233,No,1990,4,26,9,37,15,8,6.9,,6.9,6.5,,,,,CHINA,,CHINA:  QINGHAI PROVINCE:  GANGHE-XINGHAI,35.986,100.245,30,126,3,,,2049,4,58.35,4,66800,4,66800,4,126,3,,,2049,4,58.35,4,66800,4,,
5235,No,1990,5,5,7,21,29.5,10,5.4,,5.4,5.3,,,,7,ITALY,,ITALY:  POTENZA,40.775,15.766,130,2,1,,,16,1,,2,,,,,2,1,,,16,1,,2,,,,
5236,No,1990,5,13,4,23,9.6,21,6.3,,6.3,6,,,,8,NEW ZEALAND,,"NEW ZEALAND:  DANNEVIRKE,  WELLINGTON",-40.296,176.064,170,,,,,,,,2,,,,,,,,,,,,2,,,,
5237,No,1990,5,20,2,22,1.6,15,7.1,,7.1,6.7,,,,,SUDAN,,"SUDAN:  JUBA, MAYA;  UGANDA: NAKURA",5.121,32.145,15,31,1,,,,,,1,,,,,31,1,,,,,,1,,,,2
5239,No,1990,5,24,20,0,8.1,16,7,,7,6.5,,,,,SUDAN,,"SUDAN:  JUBA, KAPENGURIA",5.358,31.848,15,,,,,,,,1,,,,,,,,,,,,1,,,,2
5240,No,1990,5,30,2,34,5.8,24,6.5,,6.5,6.1,,,,6,PERU,,PERU:  MOYABAMBA-RIOJO,-6.016,-77.229,160,200,3,,,8130,4,1,2,,,,,200,3,,,8130,4,1,2,,,,
